Event	id_r	id_phi	id_eta	phi	phiB	quality	bx	pt
47	4	6	-2	927	11	3	0	145.639
47	1	6	-1	936	-5	6	0	145.639
47	3	6	-1	928	-1	6	0	145.639
48	1	5	1	22	-50	6	0	14.7821
48	2	5	1	-37	-35	6	0	14.7821
48	3	5	1	-75	-13	6	0	14.7821
48	4	5	1	-91	-6	6	0	14.7821
49	1	5	1	314	-5	6	0	110.084
49	3	5	2	302	-3	6	0	110.084
49	4	5	2	299	-3	5	0	110.084
50	1	12	1	-27	-5	6	0	175.52
50	2	12	1	-33	4	3	0	175.52
50	3	12	2	-35	-4	6	0	175.52
50	4	12	2	-37	-21	2	0	175.52
51	1	12	0	-149	-4	6	0	179.219
51	2	12	0	-156	-6	3	0	179.219
51	3	12	0	-159	-32	2	0	179.219
51	4	12	0	-161	-2	6	0	179.219
52	1	11	1	-395	-33	6	0	21.3426
52	2	11	1	-436	-22	6	0	21.3426
52	3	11	1	-464	-13	6	0	21.3426
52	4	11	1	-477	-3	5	0	21.3426
53	3	11	-2	501	-3	6	0	72.1341
53	4	11	-2	496	-3	6	0	72.1341
53	1	11	-1	520	-11	6	0	72.1341
54	2	12	2	-79	-2	6	0	192.83
54	3	12	2	-82	-1	6	0	192.83
55	1	6	0	-177	-9	6	0	69.5201
55	2	6	0	-189	-8	6	0	69.5201
55	3	6	0	-197	-4	6	0	69.5201
55	4	6	0	-201	-3	6	0	69.5201
56	4	5	-1	151	4	6	0	66.001
57	1	10	1	1093	-5	6	0	185.324
57	3	10	1	1086	-9	2	0	185.324
57	4	10	1	1044	-206	3	0	185.324
57	2	11	1	-1056	-2	6	0	185.324
58	1	1	1	-136	-5	6	0	121.507
58	2	1	1	-143	-3	6	0	121.507
58	3	1	1	-148	-4	5	0	121.507
58	4	1	1	-151	-4	6	0	121.507
59	3	6	-2	483	-9	2	0	6.28625
59	1	6	-1	703	-143	6	0	6.28625
59	2	6	-1	549	-85	6	0	6.28625
60	3	1	-2	186	-15	6	0	25.0527
60	4	1	-2	174	-4	6	0	25.0527
60	1	1	-1	253	-31	5	0	25.0527
60	2	1	-1	219	-27	2	0	25.0527
61	1	2	0	377	-98	6	0	8.1742
61	2	2	0	260	-71	6	0	8.1742
61	3	2	0	180	-22	3	0	8.1742
61	4	2	0	175	4	4	0	8.1742
62	2	5	1	-64	-43	3	0	23.093
62	3	5	1	-97	-19	6	0	23.093
62	4	5	1	-116	-11	6	0	23.093
63	4	4	-2	1591	-3	6	0	84.6374
63	3	5	-2	-549	-3	6	0	84.6374
63	4	5	-2	-552	-2	5	0	84.6374
63	1	5	-1	-535	-7	6	0	84.6374
63	2	5	-1	-542	-9	2	0	84.6374
64	1	5	1	-144	-7	6	0	166.551
64	2	5	1	-151	-4	6	0	166.551
64	3	5	1	-155	-3	6	0	166.551
64	4	5	2	-157	-6	3	0	166.551
65	2	7	2	-865	-1	6	0	188.969
66	2	2	-2	-211	1	5	0	138.076
66	1	2	-1	-203	25	2	0	138.076
67	1	6	0	-21	-6	6	0	139.546
67	2	6	0	-29	3	3	0	139.546
68	1	7	0	62	-2	6	0	143.657
68	2	7	0	57	-2	6	0	143.657
68	3	7	0	54	-1	6	0	143.657
68	4	7	0	52	-1	6	0	143.657
69	2	2	-2	-579	-1	6	0	160.454
69	3	2	-2	-591	-53	5	0	160.454
70	4	1	1	-1370	-2	6	0	155.485
70	1	12	1	786	-8	6	0	155.485
70	2	12	1	780	-4	5	0	155.485
