Event,n_Primitive,1dtPrimitive.id_r,2dtPrimitive.id_r,3dtPrimitive.id_r,4dtPrimitive.id_r,1dtPrimitive.id_eta,2dtPrimitive.id_eta,3dtPrimitive.id_eta,4dtPrimitive.id_eta,1dtPrimitive.id_phi,2dtPrimitive.id_phi,3dtPrimitive.id_phi,4dtPrimitive.id_phi,1dtPrimitive.phiGlb,2dtPrimitive.phiGlb,3dtPrimitive.phiGlb,4dtPrimitive.phiGlb,1dtPrimitive.phiB,2dtPrimitive.phiB,3dtPrimitive.phiB,4dtPrimitive.phiB,delta_phi12,delta_phi13,delta_phi14,delta_phi23,delta_phi24,delta_phi34,genParticle.pt
27.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.3600245714187622,0.3590480089187622,0.3588038682937622,0.0,-1.0,0.0,0.0,0.0,0.0009765625,0.001220703125,0.3600245714187622,0.000244140625,0.3590480089187622,0.3588038682937622,196.5408477783203
28.0,4.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.017578125,0.01513671875,0.012939453125,0.01220703125,-9.0,-5.0,-4.0,2.0,0.00244140625,0.004638671875,0.00537109375,0.002197265625,0.0029296875,0.000732421875,61.48661422729492
29.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,-0.129150390625,-0.131103515625,-0.132568359375,-0.133056640625,-7.0,-4.0,-4.0,-3.0,0.001953125,0.00341796875,0.00390625,0.00146484375,0.001953125,0.00048828125,92.73918151855469
30.0,3.0,1.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,0.0,6.0,6.0,6.0,0.0,2.713941097259521,2.703443050384521,2.696362972259521,0.0,-38.0,-23.0,-15.0,0.0,0.010498046875,0.017578125,2.713941097259521,0.007080078125,2.703443050384521,2.696362972259521,17.72601890563965
31.0,3.0,1.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,0.0,8.0,8.0,8.0,0.0,3.6781308650970463,3.6759335994720463,3.6742246150970463,0.0,-6.0,-5.0,-4.0,0.0,0.002197265625,0.00390625,3.6781308650970463,0.001708984375,3.6759335994720463,3.6742246150970463,72.03325653076172
32.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.024893522262573,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,3.024893522262573,3.024893522262573,3.024893522262573,0.0,0.0,0.0,48.08837127685547
33.0,3.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,6.0,6.0,6.0,0.0,2.720288753509521,2.715894222259521,2.714429378509521,0.0,-1.0,-11.0,-1.0,0.0,0.00439453125,0.005859375,2.720288753509521,0.00146484375,2.715894222259521,2.714429378509521,25.01821708679199
34.0,3.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,12.0,1.0,1.0,0.0,6.0637855529785165,-0.22216796875,-0.224853515625,0.0,-11.0,-10.0,39.0,0.0,6.2859535217285165,6.2886390686035165,6.0637855529785165,0.002685546875,0.22216796875,0.224853515625,53.13488388061523
35.0,3.0,1.0,1.0,1.0,0.0,-1.0,-2.0,-2.0,0.0,9.0,9.0,9.0,0.0,4.2613000869750985,4.2532434463500985,4.2554407119750985,0.0,-12.0,-44.0,0.0,0.0,0.008056640625,0.005859375,4.2613000869750985,0.002197265625,4.2532434463500985,4.2554407119750985,59.12941360473633
36.0,2.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,5.0,5.0,0.0,0.0,1.9183697700500488,1.9166607856750488,0.0,0.0,-6.0,-2.0,0.0,0.0,0.001708984375,1.9183697700500488,1.9183697700500488,1.9166607856750488,1.9166607856750488,0.0,102.62433624267578
37.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,0.0,2.269443988800049,2.265537738800049,2.263828754425049,0.0,-13.0,-8.0,-2.0,0.0,0.00390625,0.005615234375,2.269443988800049,0.001708984375,2.265537738800049,2.263828754425049,39.22292709350586
