Event,dtPrimitive.id_r,dtPrimitive.id_eta,dtPrimitive.id_phi,dtPrimitive.bxTrackFinder(),dtPrimitive.phiGlb(),dtPrimitive.bx
33,4,-1,6,0,2.7144293785095215,0
34,2,-1,1,0,-0.22216796875,0
34,4,-1,1,0,-0.224853515625,0
34,1,-1,12,0,6.063785552978516,0
35,4,-2,8,-1,3.902007818222046,-1
35,3,-2,9,-5,4.254952430725098,-5
35,3,-2,9,-2,4.255928993225098,-2
35,3,-2,9,0,4.253243446350098,0
35,4,-2,9,0,4.255440711975098,0
35,4,-2,9,-2,4.244698524475098,-1
35,1,-1,9,0,4.261300086975098,0
36,2,-1,5,0,1.9183697700500488,0
36,3,-1,5,0,1.9166607856750488,0
37,1,1,5,0,2.269443988800049,0
37,1,1,5,-2,2.260410785675049,-1
37,2,1,5,0,2.265537738800049,0
37,3,1,5,0,2.263828754425049,0
38,1,-1,1,0,0.12109375,0
38,2,-1,1,0,0.11767578125,0
38,3,-1,1,-3,0.121337890625,-3
38,3,-1,1,0,0.110107421875,0
38,4,-1,1,0,0.11474609375,0
39,4,-1,5,0,2.126377582550049,0
39,1,0,5,0,2.131748676300049,0
39,2,0,5,0,2.129307270050049,0
40,1,0,6,0,2.9270758628845215,0
40,2,0,7,0,2.9262607097625732,0
41,1,1,4,0,1.6127885580062866,0
41,2,1,4,0,1.6115678548812866,0
41,3,2,4,-6,1.6066850423812866,-6
41,3,2,4,-3,1.6108354330062866,-3
41,4,2,4,0,1.6098588705062866,0
42,1,0,1,0,0.2373046875,0
42,3,0,1,0,0.233154296875,0
42,4,0,2,0,0.232583150267601,0
43,1,0,7,0,3.2114169597625732,0
43,2,0,7,0,3.2099521160125732,0
43,3,0,7,0,3.2082431316375732,0
44,2,-2,10,0,4.71068000793457,0
44,3,-2,10,0,4.70872688293457,0
45,1,-1,4,0,1.5852006673812866,0
45,2,-1,4,-6,1.5766557455062866,-6
45,2,-1,4,0,1.5764116048812866,0
45,3,-1,4,-3,1.5664018392562866,-3
45,3,-1,4,0,1.5781205892562866,0
46,1,1,3,0,0.9966604709625244,0
47,3,-2,4,0,1.6918901205062866,0
47,4,-2,4,0,1.6914018392562866,0
47,1,-1,4,0,1.6940873861312866,0
47,2,-1,4,0,1.6928666830062866,0
48,4,-2,6,0,2.8443121910095215,0
48,1,-1,6,0,2.8465094566345215,0
48,3,-1,6,0,2.8445563316345215,0
49,1,1,5,0,2.099766254425049,0
49,2,1,5,0,2.085361957550049,0
49,3,1,5,0,2.076084613800049,0
49,4,1,5,0,2.072178363800049,0
50,1,1,5,0,2.171055316925049,0
50,3,2,5,0,2.168125629425049,0
50,4,2,5,0,2.167393207550049,0
51,1,1,12,0,5.752994537353516,0
51,2,1,12,-6,5.753482818603516,-6
51,2,1,12,0,5.751529693603516,0
51,3,2,12,0,5.751041412353516,0
51,4,2,12,0,5.750553131103516,0
52,1,0,12,0,5.723209381103516,0
52,2,0,12,0,5.721500396728516,0
52,3,0,12,0,5.720767974853516,0
52,4,0,12,0,5.720279693603516,0
53,1,1,11,0,5.139552116394043,0
53,2,1,11,0,5.129542350769043,0
53,3,1,11,0,5.122706413269043,0
53,4,1,11,0,5.119532585144043,0
54,3,-2,11,0,5.358302116394043,0
54,4,-2,11,0,5.357081413269043,0
54,1,-1,11,0,5.362940788269043,0
55,2,2,12,0,5.740299224853516,0
55,3,2,12,0,5.739566802978516,0
56,1,0,6,0,2.5747809410095215,0
56,2,0,6,0,2.5718512535095215,0
56,3,0,6,0,2.5698981285095215,0
56,4,0,6,0,2.5689215660095215,0
57,4,-1,5,0,2.131260395050049,0
58,1,1,10,0,4.97923469543457,0
58,3,1,10,0,4.97752571105957,0
58,4,1,10,-6,4.97532844543457,-6
58,4,1,10,-5,4.96629524230957,-5
58,4,1,10,-4,4.96141242980957,-4
58,4,1,10,-2,4.99388313293457,-2
58,4,1,10,0,4.96727180480957,0
58,4,1,10,1,4.97850227355957,1
58,2,1,11,0,4.978175163269043,0
59,1,1,1,0,-0.033203125,0
59,2,1,1,0,-0.034912109375,0
59,3,1,1,0,-0.0361328125,0
59,4,1,1,0,-0.036865234375,0
60,3,-2,6,0,2.7359137535095215,0
60,1,-1,6,0,2.7896246910095215,0
60,2,-1,6,0,2.7520270347595215,0
61,3,-2,1,0,0.04541015625,0
61,4,-2,1,0,0.04248046875,0
61,1,-1,1,0,0.061767578125,0
61,2,-1,1,0,0.053466796875,0
62,1,0,2,0,0.6156398057937622,0
62,2,0,2,0,0.5870753526687622,0
62,3,0,2,0,0.5675441026687622,0
62,4,0,2,-1,0.5663233995437622,-1
62,4,0,2,0,0.5663233995437622,0
63,2,1,5,0,2.078770160675049,0
63,3,1,5,0,2.070713520050049,0
63,4,1,5,0,2.066074848175049,0
64,4,-2,4,0,1.9592241048812866,0
64,3,-2,5,0,1.9603619575500488,0
64,3,-2,5,1,1.9606060981750488,1
64,4,-2,5,0,1.9596295356750488,0
64,1,-1,5,0,1.9637799263000488,0
64,2,-1,5,0,1.9620709419250488,0
65,1,1,5,0,2.059238910675049,0
65,2,1,5,0,2.057529926300049,0
65,3,1,5,0,2.056553363800049,0
65,4,2,5,0,2.056065082550049,0
66,2,2,7,0,2.9304111003875732,0
67,2,-2,2,0,0.4720851182937622,0
67,1,-1,2,0,0.4740382432937622,0
68,1,0,6,0,2.6128668785095215,0
68,2,0,6,0,2.6109137535095215,0
69,1,0,7,0,3.1567294597625732,0
69,2,0,7,0,3.1555087566375732,0
69,3,0,7,0,3.1547763347625732,0
69,4,0,7,0,3.1542880535125732,0
70,2,-2,2,-6,0.3822413682937622,-6
70,2,-2,2,0,0.3822413682937622,0
70,3,-2,2,0,0.3793116807937622,0
71,4,1,1,0,-0.33447265625,0
71,1,1,12,-1,5.950504302978516,-1
71,1,1,12,0,5.951480865478516,0
71,1,1,12,-2,5.950260162353516,-1
71,2,1,12,0,5.950016021728516,0
71,3,1,12,0,5.949039459228516,0
72,1,1,9,0,4.484200477600098,0
72,2,1,10,0,4.48045539855957,0
72,4,2,10,0,4.47654914855957,0
73,2,0,2,-3,0.3243800401687622,-3
73,2,0,2,0,0.3256007432937622,0
73,3,0,2,0,0.3243800401687622,0
73,4,0,2,0,0.3238917589187622,0
74,4,-2,8,0,3.740142583847046,0
74,1,-1,8,0,3.743316411972046,0
74,2,-1,8,0,3.741851568222046,0
74,3,-1,8,-1,3.740630865097046,-1
75,1,2,7,0,3.2690341472625732,0
75,1,2,7,-2,3.2538974285125732,-1
75,2,2,7,0,3.2675693035125732,0
75,3,2,7,0,3.2661044597625732,0
76,1,0,4,0,1.7421830892562866,0
76,2,0,4,0,1.7373002767562866,0
76,3,0,4,-6,1.7329057455062866,-6
76,3,0,4,-5,1.7358354330062866,-5
76,3,0,4,0,1.7307084798812866,0
76,4,0,4,0,1.7316850423812866,0
77,3,-2,4,-6,1.4455522298812866,-6
77,3,-2,4,-5,1.4453080892562866,-5
77,3,-2,4,-3,1.4470170736312866,-3
77,3,-2,4,0,1.4440873861312866,0
77,4,-2,4,0,1.4455522298812866,0
77,1,-1,4,0,1.4499467611312866,0
77,2,-1,4,0,1.4479936361312866,0
78,1,0,10,0,4.71702766418457,0
78,2,0,10,0,4.71116828918457,0
78,3,0,10,-3,4.70775032043457,-3
78,3,0,10,-2,4.70604133605957,-2
79,1,0,10,0,4.62449836730957,0
79,2,0,10,0,4.61253547668457,0
79,3,0,10,-5,4.60521125793457,-5
79,3,0,10,0,4.60057258605957,0
80,3,2,2,0,0.7784816026687622,0
80,2,2,3,0,0.7803518772125244,0
81,1,0,2,0,0.8038722276687622,0
81,2,0,3,0,0.8018362522125244,0
82,3,-2,8,-7,3.557769536972046,-7
82,3,-2,8,-5,3.555328130722046,-5
82,3,-2,8,0,3.568023443222046,0
82,3,-2,8,1,3.541900396347046,1
82,4,-2,8,0,3.556060552597046,0
82,1,-1,8,0,3.558013677597046,0
83,1,-1,9,0,4.317940711975098,0
83,2,-1,9,0,4.316964149475098,0
83,3,-1,9,-2,4.316720008850098,-2
83,3,-1,9,0,4.315255165100098,0
84,1,1,8,0,3.948150396347046,0
84,2,1,9,0,3.9468469619750977,0
85,2,-1,9,-4,4.034493446350098,-4
85,2,-1,9,-2,4.034493446350098,-2
85,3,-1,9,0,4.034981727600098,0
86,1,0,10,0,4.75047492980957,0
86,2,0,10,-1,4.74730110168457,-1
86,2,0,10,0,4.73875617980957,0
