Event,dtPrimitive.id_r,dtPrimitive.id_eta,dtPrimitive.id_phi,dtPrimitive.phiGlb(),dtPrimitive.phiB,dtPrimitive.quality,genParticle.pt
16,1,1,8,3.905669927597046,-11.0,6,69.88074493408203
16,4,2,8,3.899810552597046,-3.0,6,69.88074493408203
17,1,0,3,1.2906057834625244,-37.0,6,17.979923248291016
17,3,0,3,1.2700979709625244,-21.0,5,17.979923248291016
17,4,0,4,1.2656205892562866,-9.0,6,17.979923248291016
18,1,-1,8,3.576324224472046,20.0,3,135.03868103027344
18,2,-1,8,3.574859380722046,-2.0,6,135.03868103027344
18,3,-1,8,3.573882818222046,-5.0,6,135.03868103027344
18,4,-1,8,3.573150396347046,-1.0,6,135.03868103027344
19,1,0,5,2.167881488800049,0.0,5,184.2149658203125
19,2,0,5,2.167149066925049,-3.0,5,184.2149658203125
19,3,0,5,2.166416645050049,-2.0,5,184.2149658203125
19,4,0,5,2.165928363800049,1.0,6,184.2149658203125
20,1,0,10,4.90672492980957,-9.0,4,120.53327941894531
20,2,0,10,4.90501594543457,3.0,2,120.53327941894531
20,3,0,10,4.90355110168457,-4.0,6,120.53327941894531
20,4,0,10,4.90281867980957,-1.0,6,120.53327941894531
21,2,-2,3,1.0987112522125244,-4.0,5,98.5722885131836
21,3,-2,3,1.0974905490875244,-3.0,6,98.5722885131836
21,4,-2,3,1.0967581272125244,0.0,6,98.5722885131836
21,1,-1,3,1.1006643772125244,-5.0,5,98.5722885131836
22,2,0,10,4.52928352355957,-124.0,2,112.98893737792969
22,3,0,10,4.53026008605957,-3.0,6,112.98893737792969
22,4,0,10,4.52952766418457,-8.0,2,112.98893737792969
23,1,0,6,2.8592047691345215,-3.0,5,199.62469482421875
23,2,0,7,2.8715732097625732,62.0,4,199.62469482421875
24,1,1,10,5.01463508605957,-18.0,6,46.53997802734375
24,2,1,11,5.011134147644043,-11.0,6,46.53997802734375
24,4,2,10,5.00706672668457,-1.0,6,46.53997802734375
25,1,1,5,2.018711566925049,-4.0,6,130.17669677734375
25,2,1,5,2.017246723175049,-3.0,6,130.17669677734375
26,2,-2,6,2.4998297691345215,-16.0,3,103.3780746459961
26,3,-2,6,2.4986090660095215,-4.0,6,103.3780746459961
26,4,-2,6,2.4978766441345215,-1.0,6,103.3780746459961
26,1,-1,6,2.5020270347595215,-9.0,6,103.3780746459961
27,2,0,2,0.3600245714187622,-1.0,6,196.5408477783203
27,3,0,2,0.3590480089187622,0.0,6,196.5408477783203
27,4,0,2,0.3588038682937622,0.0,6,196.5408477783203
28,1,-1,1,0.017578125,-9.0,3,61.48661422729492
28,2,-1,1,0.01513671875,-5.0,6,61.48661422729492
28,3,-1,1,0.012939453125,-4.0,6,61.48661422729492
28,4,-1,1,0.01220703125,2.0,6,61.48661422729492
29,1,1,1,-0.129150390625,-7.0,6,92.73918151855469
29,2,1,1,-0.131103515625,-4.0,6,92.73918151855469
29,3,2,1,-0.132568359375,-4.0,6,92.73918151855469
29,4,2,1,-0.133056640625,-3.0,5,92.73918151855469
30,1,-2,6,2.7139410972595215,-38.0,6,17.72601890563965
30,2,-2,6,2.7034430503845215,-23.0,5,17.72601890563965
30,3,-2,6,2.6963629722595215,-15.0,5,17.72601890563965
31,1,-2,8,3.678130865097046,-6.0,3,72.03325653076172
31,2,-2,8,3.675933599472046,-5.0,6,72.03325653076172
31,3,-2,8,3.674224615097046,-4.0,6,72.03325653076172
32,4,1,7,3.0248935222625732,-3.0,6,48.08837127685547
33,2,-1,6,2.7202887535095215,-1.0,3,25.018217086791992
33,3,-1,6,2.7158942222595215,-11.0,6,25.018217086791992
33,4,-1,6,2.7144293785095215,-1.0,6,25.018217086791992
34,2,-1,1,-0.22216796875,-10.0,4,53.134883880615234
34,4,-1,1,-0.224853515625,39.0,2,53.134883880615234
34,1,-1,12,6.063785552978516,-11.0,5,53.134883880615234
35,3,-2,9,4.253243446350098,-44.0,5,59.12941360473633
35,4,-2,9,4.255440711975098,0.0,6,59.12941360473633
35,1,-1,9,4.261300086975098,-12.0,5,59.12941360473633
36,2,-1,5,1.9183697700500488,-6.0,6,102.62433624267578
36,3,-1,5,1.9166607856750488,-2.0,6,102.62433624267578
37,1,1,5,2.269443988800049,-13.0,5,39.22292709350586
37,2,1,5,2.265537738800049,-8.0,5,39.22292709350586
37,3,1,5,2.263828754425049,-2.0,6,39.22292709350586
38,1,-1,1,0.12109375,-11.0,6,65.7212142944336
38,2,-1,1,0.11767578125,-6.0,6,65.7212142944336
38,3,-1,1,0.110107421875,-132.0,2,65.7212142944336
38,4,-1,1,0.11474609375,-2.0,6,65.7212142944336
39,4,-1,5,2.126377582550049,-2.0,6,75.07622528076172
39,1,0,5,2.131748676300049,-14.0,5,75.07622528076172
39,2,0,5,2.129307270050049,-17.0,2,75.07622528076172
40,1,0,6,2.9270758628845215,-6.0,4,184.97305297851562
40,2,0,7,2.9262607097625732,-5.0,6,184.97305297851562
41,1,1,4,1.6127885580062866,-7.0,5,153.41957092285156
41,2,1,4,1.6115678548812866,0.0,6,153.41957092285156
41,4,2,4,1.6098588705062866,0.0,6,153.41957092285156
42,1,0,1,0.2373046875,-9.0,6,90.13275909423828
42,3,0,1,0.233154296875,-4.0,5,90.13275909423828
42,4,0,2,0.232583150267601,0.0,6,90.13275909423828
43,1,0,7,3.2114169597625732,-7.0,6,111.11219024658203
43,2,0,7,3.2099521160125732,-4.0,5,111.11219024658203
43,3,0,7,3.2082431316375732,-6.0,5,111.11219024658203
44,2,-2,10,4.71068000793457,-8.0,6,73.20805358886719
44,3,-2,10,4.70872688293457,-4.0,6,73.20805358886719
45,1,-1,4,1.5852006673812866,-27.0,5,28.234233856201172
45,2,-1,4,1.5764116048812866,-2.0,3,28.234233856201172
45,3,-1,4,1.5781205892562866,235.0,2,28.234233856201172
46,1,1,3,0.9966604709625244,-6.0,6,164.54891967773438
47,3,-2,4,1.6918901205062866,-11.0,3,144.57089233398438
47,4,-2,4,1.6914018392562866,-2.0,6,144.57089233398438
47,1,-1,4,1.6940873861312866,-4.0,6,144.57089233398438
47,2,-1,4,1.6928666830062866,-6.0,6,144.57089233398438
48,4,-2,6,2.8443121910095215,11.0,3,145.63914489746094
48,1,-1,6,2.8465094566345215,-5.0,6,145.63914489746094
48,3,-1,6,2.8445563316345215,-1.0,6,145.63914489746094
49,1,1,5,2.099766254425049,-50.0,6,14.782115936279297
49,2,1,5,2.085361957550049,-35.0,6,14.782115936279297
49,3,1,5,2.076084613800049,-13.0,6,14.782115936279297
49,4,1,5,2.072178363800049,-6.0,6,14.782115936279297
50,1,1,5,2.171055316925049,-5.0,6,110.08370208740234
50,3,2,5,2.168125629425049,-3.0,6,110.08370208740234
50,4,2,5,2.167393207550049,-3.0,5,110.08370208740234
51,1,1,12,5.752994537353516,-5.0,6,175.51971435546875
51,2,1,12,5.751529693603516,4.0,3,175.51971435546875
51,3,2,12,5.751041412353516,-4.0,6,175.51971435546875
51,4,2,12,5.750553131103516,-21.0,2,175.51971435546875
